[ INFO] [2020-11-08] [20:20:02,691] [x800018040] .main - ### Starting ###
[ INFO] [2020-11-08] [20:21:26,016] [x800018040] .main - ### Starting ###
[ INFO] [2020-11-08] [20:25:37,560] [x800018040] .main - ### Starting ###
[ INFO] [2020-11-08] [20:44:39,360] [x800018040] .main - ### Starting ###
[ INFO] [2020-11-08] [20:45:07,192] [x800018040] .main - ### Starting ###
[ INFO] [2020-11-08] [21:07:36,515] [x800018040] .main - ### Starting ###
[ INFO] [2020-11-08] [21:07:47,613] [x800018040] .main - ### Starting ###
[ INFO] [2020-11-08] [21:08:13,857] [x800018040] .main - ### Starting ###
[ INFO] [2020-11-09] [00:44:37,982] [x800018040] .main - ### Starting ###
[ INFO] [2020-11-10] [00:10:22,764] [x800018040] .main - ### Starting ###
[ INFO] [2020-11-15] [03:50:58,699] [x800018040] .main - ### Starting ###
[ INFO] [2020-11-15] [03:53:28,147] [x800018040] .main - ### Starting ###
[ INFO] [2020-11-15] [03:56:39,128] [x800018040] .main - ### Starting ###
[ INFO] [2020-11-15] [04:00:28,001] [x800018040] .main - ### Starting ###
[ INFO] [2020-11-15] [04:06:51,828] [x800018040] .main - ### Starting ###
[ INFO] [2020-11-15] [04:12:59,774] [x800018040] .main - ### Starting ###
[ INFO] [2020-11-15] [04:13:53,188] [x800018040] .main - ### Starting ###
[ INFO] [2020-11-15] [04:19:08,646] [x800018040] .main - ### Starting ###
[ INFO] [2020-11-15] [04:19:31,963] [x800018040] .main - ### Starting ###
[ INFO] [2020-11-15] [04:33:45,409] [x800018040] .main - ### Starting ###
[ INFO] [2020-11-15] [04:35:14,242] [x800018040] .main - ### Starting ###
[ INFO] [2020-11-15] [04:35:14,243] [x80009b8d0] Galaxy.galaxyWorker - tick 1
[ INFO] [2020-11-15] [04:35:14,292] [x8000acbb0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:35:14,293] [x80009b6b0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:35:14,342] [x8000acbb0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:35:14,343] [x80009b6b0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:35:14,392] [x8000acbb0] StarSystem.update - starsystem c
[ INFO] [2020-11-15] [04:35:15,342] [x80009b8d0] Galaxy.galaxyWorker - tick 2
[ INFO] [2020-11-15] [04:35:15,392] [x80009b6b0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:35:15,392] [x8000acbb0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:35:15,442] [x80009b6b0] StarSystem.update - starsystem c
[ INFO] [2020-11-15] [04:35:16,344] [x80009b8d0] Galaxy.galaxyWorker - tick 3
[ INFO] [2020-11-15] [04:35:16,394] [x80009b6b0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:35:16,394] [x8000acbb0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:35:16,444] [x80009b6b0] StarSystem.update - starsystem c
[ INFO] [2020-11-15] [04:35:17,344] [x80009b8d0] Galaxy.galaxyWorker - tick 4
[ INFO] [2020-11-15] [04:35:17,394] [x80009b6b0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:35:17,394] [x8000acbb0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:35:17,444] [x80009b6b0] StarSystem.update - starsystem c
[ INFO] [2020-11-15] [04:35:18,344] [x80009b8d0] Galaxy.galaxyWorker - tick 5
[ INFO] [2020-11-15] [04:35:18,394] [x80009b6b0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:35:18,394] [x8000acbb0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:35:18,444] [x80009b6b0] StarSystem.update - starsystem c
[ INFO] [2020-11-15] [04:35:19,344] [x80009b8d0] Galaxy.galaxyWorker - tick 6
